;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Budget Line #;;Activity ID;Module;Intervention;Activity;Cost input;UNDP Budget account;Measurement unit;Unit cost;Q1 quantity; Q1 amount ;Q2 quantity; Q2 amount ;Q3 quantity; Q3 amount ;Q4 quantity; Q4 amount ; Amount Total ;;;;;
1;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;3.920,95;0,00; -   ;1,00; 3.920,95 ;0,00; -   ;0,00; -   ; 3.920,95 ;;;;;
2;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;4.175,98;0,00; -   ;1,00; 4.175,98 ;0,00; -   ;0,00; -   ; 4.175,98 ;;;;;
3;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;809,57;0,00; -   ;1,00; 809,57 ;0,00; -   ;0,00; -   ; 809,57 ;;;;;
4;;24;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;1.3.4 Distribución e implementación masiva y regular de TMILD para habitantes permanentes en comunidades rurales priorizados de 18 municipios (no se incluye a Cobija) cada dos años ;9.3 Otro equipamiento no sanitario;74725;USD;51.833,81;0,00; -   ;0,50; 25.916,91 ;0,50; 25.916,91 ;0,00; -   ; 51.833,81 ;;;;;
5;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;5.260,55;0,00; -   ;0,00; -   ;1,00; 5.260,55 ;0,00; -   ; 5.260,55 ;;;;;
6;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;9.443,37;0,00; -   ;0,00; -   ;1,00; 9.443,37 ;0,00; -   ; 9.443,37 ;;;;;
7;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;1.431,88;0,00; -   ;0,00; -   ;1,00; 1.431,88 ;0,00; -   ; 1.431,88 ;;;;;
8;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;54.424,18;0,00; -   ;0,33; 18.141,39 ;0,33; 18.141,39 ;0,33; 18.141,39 ; 54.424,18 ;;;;;
9;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;74725;USD;2.185,40;0,00; -   ;0,33; 728,47 ;0,33; 728,47 ;0,33; 728,47 ; 2.185,40 ;;;;;
10;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;72311;USD;2.354,86;0,00; -   ;0,33; 784,95 ;0,33; 784,95 ;0,33; 784,95 ; 2.354,86 ;;;;;
11;;32;Gestión de casos;Gestión integrada de casos comunitarios;Talleres de capacitación en malaria y certificación de colaboradores voluntarios, basados en la Guía del CV actualizada;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;6.946,42;0,00; -   ;0,00; -   ;1,00; 6.946,42 ;0,00; -   ; 6.946,42 ;;;;;
12;;32;Gestión de casos;Gestión integrada de casos comunitarios;Talleres de capacitación en malaria y certificación de colaboradores voluntarios, basados en la Guía del CV actualizada;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;17.107,42;0,00; -   ;0,00; -   ;1,00; 17.107,42 ;0,00; -   ; 17.107,42 ;;;;;
13;;32;Gestión de casos;Gestión integrada de casos comunitarios;Talleres de capacitación en malaria y certificación de colaboradores voluntarios, basados en la Guía del CV actualizada;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;6.533,56;0,00; -   ;0,00; -   ;1,00; 6.533,56 ;0,00; -   ; 6.533,56 ;;;;;
14;;36;Gestión de casos;Intensificación de las actividades para la eliminación;Gestión para la certificación de la eliminación de la malaria extra – amazónica y amazónica de acuerdo a los criterios establecidos en el plan;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;6.697,71;0,00; -   ;1,00; 6.697,71 ;0,00; -   ;0,00; -   ; 6.697,71 ;;;;;
15;;36;Gestión de casos;Intensificación de las actividades para la eliminación;Gestión para la certificación de la eliminación de la malaria extra – amazónica y amazónica de acuerdo a los criterios establecidos en el plan;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;8.673,19;0,00; -   ;1,00; 8.673,19 ;0,00; -   ;0,00; -   ; 8.673,19 ;;;;;
16;;36;Gestión de casos;Intensificación de las actividades para la eliminación;Gestión para la certificación de la eliminación de la malaria extra – amazónica y amazónica de acuerdo a los criterios establecidos en el plan;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;2.775,24;0,00; -   ;1,00; 2.775,24 ;0,00; -   ;0,00; -   ; 2.775,24 ;;;;;
17;;42;Gestión de casos;Intensificación de las actividades para la eliminación;Vigilancia de la malaria mediante búsqueda activa de casos, en centros de acopio de la castaña.;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;10.764,21;0,00; -   ;0,33; 3.588,07 ;0,33; 3.588,07 ;0,33; 3.588,07 ; 10.764,21 ;;;;;
18;;42;Gestión de casos;Intensificación de las actividades para la eliminación;Vigilancia de la malaria mediante búsqueda activa de casos, en centros de acopio de la castaña.;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;72311;USD;4.121,03;0,00; -   ;0,33; 1.373,68 ;0,33; 1.373,68 ;0,33; 1.373,68 ; 4.121,03 ;;;;;
19;;51;Gestión de casos;Tratamiento en establecimientos de salud;Tratamiento supervisado de todos los pacientes con Plasmodium falciparum todos los días de tratamiento, en barrios del municipio de Guayaramerín y Riberalta, según norma establecida por el Ministerio de Salud y Deportes;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;72311;USD;3.061,36;0,00; -   ;0,33; 1.020,45 ;0,33; 1.020,45 ;0,33; 1.020,45 ; 3.061,36 ;;;;;
20;;52;Gestión de casos;Tratamiento en establecimientos de salud;Tratamiento supervisado en todos los casos de malaria por P. vivax y P. falciparum en comunidades donde la prevalencia de casos es muy baja, según el protocolo o norma establecida por el Ministerio de Salud y Deportes;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;1.089,24;0,00; -   ;0,33; 363,08 ;0,33; 363,08 ;0,33; 363,08 ; 1.089,24 ;;;;;
21;;52;Gestión de casos;Tratamiento en establecimientos de salud;Tratamiento supervisado en todos los casos de malaria por P. vivax y P. falciparum en comunidades donde la prevalencia de casos es muy baja, según el protocolo o norma establecida por el Ministerio de Salud y Deportes;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;74725;USD;493,41;0,00; -   ;0,33; 164,47 ;0,33; 164,47 ;0,33; 164,47 ; 493,41 ;;;;;
22;;52;Gestión de casos;Tratamiento en establecimientos de salud;Tratamiento supervisado en todos los casos de malaria por P. vivax y P. falciparum en comunidades donde la prevalencia de casos es muy baja, según el protocolo o norma establecida por el Ministerio de Salud y Deportes;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;72311;USD;3.237,95;0,00; -   ;0,33; 1.079,32 ;0,33; 1.079,32 ;0,33; 1.079,32 ; 3.237,95 ;;;;;
23;;58;Gestión de casos;Tratamiento en establecimientos de salud;Talleres de capacitación para microscopistas, de los centros de salud de diferentes niveles de los municipios priorizados (personal nuevo) y puestos de malaria, basados en la Norma de diagnóstico de malaria actualizada  (150 participantes entre tecnicos en malaria, bioquímicos de primer nivel) cada año.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;2.576,16;0,00; -   ;0,50; 1.288,08 ;0,50; 1.288,08 ;0,00; -   ; 2.576,16 ;;;;;
24;;58;Gestión de casos;Tratamiento en establecimientos de salud;Talleres de capacitación para microscopistas, de los centros de salud de diferentes niveles de los municipios priorizados (personal nuevo) y puestos de malaria, basados en la Norma de diagnóstico de malaria actualizada  (150 participantes entre tecnicos en malaria, bioquímicos de primer nivel) cada año.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;12.414,80;0,00; -   ;0,50; 6.207,40 ;0,50; 6.207,40 ;0,00; -   ; 12.414,80 ;;;;;
25;;58;Gestión de casos;Tratamiento en establecimientos de salud;Talleres de capacitación para microscopistas, de los centros de salud de diferentes niveles de los municipios priorizados (personal nuevo) y puestos de malaria, basados en la Norma de diagnóstico de malaria actualizada  (150 participantes entre tecnicos en malaria, bioquímicos de primer nivel) cada año.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;4.655,96;0,00; -   ;0,50; 2.327,98 ;0,50; 2.327,98 ;0,00; -   ; 4.655,96 ;;;;;
26;;66;Gestión de casos;Intensificación de las actividades para la eliminación;Contratación de RRHH para la UTO (Encargado de logística y almacenes, Asesor  médico, 3 técnicos motoristas y un conductor) ;1.6 Salarios: en la comunidad, incluidos trabajadores de salud comunitarios y agentes de divulgación;71810;USD;95.448,94;0,00; -   ;0,40; 38.179,57 ;0,30; 28.634,68 ;0,30; 28.634,68 ; 95.448,94 ;;;;;
27;;67;Gestión de casos;Intensificación de las actividades para la eliminación;Gastos relacionados al funcionamiento de la UTO;11.1 Costos relacionados con oficinas;73110;USD;4.485,60;0,00; -   ;0,40; 1.794,24 ;0,30; 1.345,68 ;0,30; 1.345,68 ; 4.485,60 ;;;;;
28;;67;Gestión de casos;Intensificación de las actividades para la eliminación;Gastos relacionados al funcionamiento de la UTO;11.1 Costos relacionados con oficinas;73120;USD;4.401,82;0,00; -   ;0,40; 1.760,73 ;0,30; 1.320,55 ;0,30; 1.320,55 ; 4.401,82 ;;;;;
29;;67;Gestión de casos;Intensificación de las actividades para la eliminación;Gastos relacionados al funcionamiento de la UTO;11.1 Costos relacionados con oficinas;72155;USD;3.440,18;0,00; -   ;0,40; 1.376,07 ;0,30; 1.032,05 ;0,30; 1.032,05 ; 3.440,18 ;;;;;
30;;68;Gestión de programas;Coordinación y gestión de los programas nacionales de control de enfermedades;Mantenimiento preventivo de vehículos 2 y 4 ruedas, deslizadores (equipos de transporte) y mantenimiento de microscopio de la red de laboratorio, mantenimiento de equipos de biología molecular )cobija, Riberalta y guayaramerin) Para los 19 municipios;9.4 Costos de servicio y mantenimiento del equipamiento no sanitario;73410;USD;22.292,36;0,00; -   ;0,33; 7.430,79 ;0,33; 7.430,79 ;0,33; 7.430,79 ; 22.292,36 ;;;;;
31;;73;Gestión de casos;Tratamiento en establecimientos de salud;"Diplomado en ""Detección, investigación y control de brotes epidémicos y eventos de importancia para la salud pública"" ";2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;2.190,33;0,00; -   ;0,00; -   ;1,00; 2.190,33 ;0,00; -   ; 2.190,33 ;;;;;
32;;73;Gestión de casos;Tratamiento en establecimientos de salud;"Diplomado en ""Detección, investigación y control de brotes epidémicos y eventos de importancia para la salud pública"" ";2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;1.820,30;0,00; -   ;0,00; -   ;1,00; 1.820,30 ;0,00; -   ; 1.820,30 ;;;;;
33;;73;Gestión de casos;Tratamiento en establecimientos de salud;"Diplomado en ""Detección, investigación y control de brotes epidémicos y eventos de importancia para la salud pública"" ";2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;410,52;0,00; -   ;0,00; -   ;1,00; 410,52 ;0,00; -   ; 410,52 ;;;;;
34;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;2.534,01;0,00; -   ;0,00; -   ;1,00; 2.534,01 ;0,00; -   ; 2.534,01 ;;;;;
35;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;16.018,18;0,00; -   ;0,00; -   ;1,00; 16.018,18 ;0,00; -   ; 16.018,18 ;;;;;
36;;78;SSRS: fortalecimiento de los sistemas comunitarios;Capacitación y desarrollo del liderazgo;Diseño de materiales educativos y ejecución del programa de formación en modalidad presencial, priorizando temáticas de epidemiología-atención de la malaria, gestión social-políticas públicas y liderazgo para la incidencia política, dirigidos a miembros de las OSC;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;3.608,21;0,00; -   ;0,00; -   ;1,00; 3.608,21 ;0,00; -   ; 3.608,21 ;;;;;
37;;87;SSRS: fortalecimiento de los sistemas comunitarios;Participación comunitaria, vínculos y coordinación;Elaboración de materiales comunicacionales, difusión de las estrategias comunicacionales y evaluación de resultados de las mismas, integrado al ECM del MSyD;10.1 Material impreso (formularios, libros, directrices, folletos,…);74210;USD;1.404,89;0,00; -   ;1,00; 1.404,89 ;0,00; -   ;0,00; -   ; 1.404,89 ;;;;;
